Trial 0 download speed: 4050923.585164882
Trial 1 download speed: 9136549.714672336
Trial 2 download speed: 22239076.963156186
Trial 3 download speed: 30681030.74647009
Trial 4 download speed: 36317382.95506478
Trial 5 download speed: 57012162.12083283
Trial 6 download speed: 60994902.294320725
Trial 7 download speed: 35386217.22791145
Trial 8 download speed: 62990936.510519005
Trial 9 download speed: 41020505.245236725
Trial 10 download speed: 84739966.12042914
Trial 11 download speed: 92555065.05858196
Trial 12 download speed: 90079443.64338514
Trial 13 download speed: 108780033.17109643
Trial 14 download speed: 106225788.1513899
Trial 15 download speed: 109214419.15123776
Trial 16 download speed: 132580197.22891808
Trial 17 download speed: 130623864.8968357
Trial 18 download speed: 139450961.47973964
Trial 19 download speed: 129309770.48871018
Trial 20 download speed: 181504851.6480437
Trial 21 download speed: 162526942.7517494
Trial 22 download speed: 208542420.89432278
Trial 23 download speed: 189067706.59891555
Trial 24 download speed: 247098365.82847834
Trial 25 download speed: 229317141.01506758
Trial 26 download speed: 227054421.10311443
Trial 27 download speed: 215941129.8209833
Trial 28 download speed: 233344286.1209866
Trial 29 download speed: 168525559.12960756
